No,Type,Threat_type,Itype,Status,Value,Severity,IOC_type,ThreatScore,Created_ts,Organization,Confidence,Source_reported_confidence
399,ip,spam,spam_ip,active,14.165.152.95,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),64,60
400,ip,spam,spam_ip,active,113.187.41.123,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),85,60
401,ip,spam,spam_ip,active,113.166.101.33,low,gov,19,2021-03-21,Vietnam Posts and Telecommunications(VNPT),74,60
402,ip,spam,spam_ip,active,27.69.14.231,low,gov,22,2021-03-21,Viettel Group,85,60
403,ip,spam,spam_ip,active,14.233.231.79,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),93,60
404,ip,spam,spam_ip,active,14.233.199.227,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),81,60
405,ip,spam,spam_ip,active,171.240.3.116,low,gov,22,2021-03-21,Viettel Group,87,60
406,ip,spam,spam_ip,active,113.172.17.211,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),100,60
407,ip,spam,spam_ip,active,113.174.237.111,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),87,60
408,ip,spam,spam_ip,active,14.190.93.149,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
409,ip,spam,spam_ip,active,14.191.180.34,low,gov,8,2021-03-21,Vietnam Posts and Telecommunications(VNPT),32,60
410,ip,spam,spam_ip,active,171.243.154.69,low,gov,22,2021-03-21,Viettel Group,86,60
411,ip,spam,spam_ip,active,14.175.178.32,low,gov,19,2021-03-21,Vietnam Posts and Telecommunications(VNPT),74,60
412,ip,spam,spam_ip,active,14.182.149.151,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),69,60
413,ip,spam,spam_ip,active,113.165.52.218,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),64,60
414,ip,spam,spam_ip,active,42.118.0.177,low,gov,25,2021-03-21,FPT Telecom Company,99,60
415,ip,spam,spam_ip,active,14.182.127.178,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),69,60
416,ip,spam,spam_ip,active,171.240.8.138,low,gov,23,2021-03-21,Viettel Group,92,60
417,ip,spam,spam_ip,active,125.235.239.226,low,gov,22,2021-03-21,Viettel Group,87,60
418,ip,spam,spam_ip,active,14.171.212.54,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
419,ip,spam,spam_ip,active,113.161.241.233,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),98,60
420,ip,spam,spam_ip,active,116.107.132.179,low,gov,22,2021-03-21,Viettel Corporation,88,60
421,ip,spam,spam_ip,active,42.113.92.145,low,gov,25,2021-03-21,FPT Telecom Company,99,60
422,ip,spam,spam_ip,active,14.233.229.41,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),93,60
423,ip,spam,spam_ip,active,42.119.63.52,low,gov,25,2021-03-21,FPT Telecom Company,99,60
424,ip,spam,spam_ip,active,27.71.99.93,low,gov,25,2021-03-21,Viettel Group,99,60
425,ip,spam,spam_ip,active,58.186.52.112,low,gov,25,2021-03-21,FPT Telecom Company,99,60
426,ip,spam,spam_ip,active,14.239.45.40,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),92,60
427,ip,spam,spam_ip,active,113.170.48.189,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),95,60
428,ip,spam,spam_ip,active,117.2.218.208,low,gov,25,2021-03-21,Viettel Group,100,60
429,ip,spam,spam_ip,active,113.179.169.237,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),78,60
430,ip,spam,spam_ip,active,171.240.79.156,low,gov,25,2021-03-21,Viettel Group,98,60
431,ip,spam,spam_ip,active,113.168.2.190,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),63,60
432,ip,spam,spam_ip,active,123.20.9.186,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),90,60
433,ip,spam,spam_ip,active,14.173.64.234,low,gov,6,2021-03-21,Vietnam Posts and Telecommunications(VNPT),24,60
434,ip,spam,spam_ip,active,113.186.163.231,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
435,ip,spam,spam_ip,active,14.190.77.151,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),99,60
436,ip,spam,spam_ip,active,118.70.55.147,low,gov,25,2021-03-21,FPT Telecom Company,100,60
437,ip,spam,spam_ip,active,116.103.143.222,low,gov,25,2021-03-21,Viettel Corporation,97,60
438,ip,spam,spam_ip,active,14.230.94.61,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),96,60
439,ip,spam,spam_ip,active,14.226.71.100,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),86,60
440,ip,spam,spam_ip,active,123.20.217.248,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
441,ip,spam,spam_ip,active,123.21.248.177,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
442,ip,spam,spam_ip,active,113.180.175.61,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),81,60
443,ip,spam,spam_ip,active,113.184.211.232,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),69,60
444,ip,spam,spam_ip,active,113.22.172.230,low,gov,25,2021-03-21,FPT Telecom Company,100,60
445,ip,spam,spam_ip,active,113.173.189.10,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
446,ip,spam,spam_ip,active,116.106.39.172,low,gov,25,2021-03-21,Viettel Corporation,97,60
447,ip,spam,spam_ip,active,171.240.7.174,low,gov,23,2021-03-21,Viettel Group,92,60
448,ip,spam,spam_ip,active,116.107.127.54,low,gov,25,2021-03-21,Viettel Group,100,60
449,ip,spam,spam_ip,active,116.101.142.246,low,gov,25,2021-03-21,Viettel Group,100,60
450,ip,spam,spam_ip,active,14.232.65.228,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
451,ip,spam,spam_ip,active,14.163.181.181,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
452,ip,spam,spam_ip,active,14.183.190.219,low,gov,17,2021-03-21,Vietnam Posts and Telecommunications(VNPT),66,60
453,ip,spam,spam_ip,active,14.187.171.243,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
454,ip,spam,spam_ip,active,14.168.110.87,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
455,ip,spam,spam_ip,active,27.71.122.151,low,gov,25,2021-03-21,Viettel Group,100,60
456,ip,spam,spam_ip,active,42.112.229.165,low,gov,25,2021-03-21,FPT Telecom Company,99,60
457,ip,spam,spam_ip,active,113.188.156.120,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
458,ip,spam,spam_ip,active,118.71.96.50,low,gov,25,2021-03-21,FPT Telecom Company,99,60
459,ip,spam,spam_ip,active,27.73.135.234,low,gov,24,2021-03-21,Viettel Group,96,60
460,ip,spam,spam_ip,active,171.236.64.69,low,gov,25,2021-03-21,Viettel Group,100,60
461,ip,spam,spam_ip,active,27.76.241.178,low,gov,25,2021-03-21,Viettel Group,97,60
462,ip,spam,spam_ip,active,171.227.88.152,low,gov,16,2021-03-21,Viettel Group,63,60
463,ip,spam,spam_ip,active,222.252.46.214,low,gov,16,2021-03-21,Vietnam Posts and Telecommunications(VNPT),63,60
464,ip,spam,spam_ip,active,183.81.105.212,low,gov,25,2021-03-21,FPT Telecom Company,100,60
465,ip,spam,spam_ip,active,1.55.210.63,low,gov,16,2021-03-21,FPT Telecom Company,63,60
466,ip,spam,spam_ip,active,42.119.54.15,low,gov,25,2021-03-21,FPT Telecom Company,99,60
467,ip,spam,spam_ip,active,14.165.13.228,low,gov,19,2021-03-21,Vietnam Posts and Telecommunications(VNPT),76,60
468,ip,spam,spam_ip,active,27.71.109.2,low,gov,11,2021-03-21,Viettel Group,44,60
469,ip,spam,spam_ip,active,14.160.178.102,low,gov,16,2021-03-21,Vietnam Posts And Telecommunications Group,61,60
470,ip,spam,spam_ip,active,123.27.151.191,low,gov,15,2021-03-21,Vietnam Posts and Telecommunications(VNPT),58,60
471,ip,spam,spam_ip,active,1.53.54.17,low,gov,25,2021-03-21,FPT Telecom Company,99,60
472,ip,spam,spam_ip,active,14.174.1.190,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
473,ip,spam,spam_ip,active,27.2.216.243,low,gov,25,2021-03-21,SaiGon Tourist cable Televition Company,97,60
474,ip,spam,spam_ip,active,14.245.225.103,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),91,60
475,ip,spam,spam_ip,active,42.112.149.82,low,gov,23,2021-03-21,FPT Telecom Company,90,60
476,ip,spam,spam_ip,active,171.229.178.81,low,gov,10,2021-03-21,Viettel Group,37,60
477,ip,spam,spam_ip,active,123.18.56.121,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),95,60
478,ip,spam,spam_ip,active,14.188.118.104,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),95,60
479,ip,spam,spam_ip,active,171.231.135.107,low,gov,23,2021-03-21,Viettel Group,90,60
480,ip,spam,spam_ip,active,115.76.54.204,low,gov,13,2021-03-21,Viettel Group,51,60
481,ip,spam,spam_ip,active,14.189.106.217,low,gov,15,2021-03-21,Vietnam Posts and Telecommunications(VNPT),58,60
482,ip,spam,spam_ip,active,123.19.163.120,low,gov,19,2021-03-21,Vietnam Posts and Telecommunications(VNPT),74,60
483,ip,spam,spam_ip,active,123.27.42.124,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),97,60
