No,Type,Threat_type,Itype,Status,Value,Severity,IOC_type,ThreatScore,Created_ts,Organization,Confidence,Source_reported_confidence
328,ip,spam,spam_ip,active,113.190.148.222,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),93,60
329,ip,spam,spam_ip,active,171.252.188.213,low,gov,22,2021-03-21,Viettel Group,87,60
330,ip,spam,spam_ip,active,123.21.124.61,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),100,60
331,ip,spam,spam_ip,active,113.172.189.50,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),99,60
332,ip,spam,spam_ip,active,113.168.231.41,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
333,ip,spam,spam_ip,active,171.237.77.227,low,gov,25,2021-03-21,Viettel Group,100,60
334,ip,spam,spam_ip,active,116.102.47.158,low,gov,25,2021-03-21,Viettel Corporation,97,60
335,ip,spam,spam_ip,active,117.7.160.115,low,gov,24,2021-03-21,Viettel Group,95,60
336,ip,spam,spam_ip,active,123.18.157.139,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),94,60
337,ip,spam,spam_ip,active,113.184.43.131,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
338,ip,spam,spam_ip,active,113.172.22.64,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
339,ip,spam,spam_ip,active,14.177.217.198,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
340,ip,spam,spam_ip,active,116.96.109.13,low,gov,25,2021-03-21,Viettel Group,100,60
341,ip,spam,spam_ip,active,1.55.255.36,low,gov,25,2021-03-21,FPT Telecom Company,99,60
342,ip,spam,spam_ip,active,103.238.73.241,low,gov,18,2021-03-21,Hanoi Telecom Joint Stock Company - HCMC Branch,72,60
343,ip,spam,spam_ip,active,103.238.73.236,low,gov,18,2021-03-21,Hanoi Telecom Joint Stock Company - HCMC Branch,72,60
344,ip,spam,spam_ip,active,171.241.3.131,low,gov,25,2021-03-21,Viettel Group,97,60
345,ip,spam,spam_ip,active,113.23.64.144,low,gov,25,2021-03-21,FPT Telecom Company,99,60
346,ip,spam,spam_ip,active,14.231.9.40,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
347,ip,spam,spam_ip,active,27.66.240.209,low,gov,19,2021-03-21,Viettel Group,75,60
348,ip,spam,spam_ip,active,14.243.129.49,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),82,60
349,ip,spam,spam_ip,active,123.16.25.132,low,gov,13,2021-03-21,Vietnam Posts and Telecommunications(VNPT),52,60
350,ip,spam,spam_ip,active,123.21.21.32,low,gov,9,2021-03-21,Vietnam Posts and Telecommunications(VNPT),34,60
351,ip,spam,spam_ip,active,113.177.128.60,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
352,ip,spam,spam_ip,active,113.173.134.46,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
353,ip,spam,spam_ip,active,42.113.121.53,low,gov,25,2021-03-21,FPT Telecom Company,99,60
354,ip,spam,spam_ip,active,103.129.189.210,low,gov,25,2021-03-21,,97,60
355,ip,spam,spam_ip,active,27.64.145.229,low,gov,25,2021-03-21,Viettel Group,100,60
356,ip,spam,spam_ip,active,113.172.208.96,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),99,60
357,ip,spam,spam_ip,active,113.162.180.19,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
358,ip,spam,spam_ip,active,171.240.62.246,low,gov,23,2021-03-21,Viettel Group,92,60
359,ip,spam,spam_ip,active,123.21.22.244,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
360,ip,spam,spam_ip,active,14.176.22.137,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),91,60
361,ip,spam,spam_ip,active,171.247.74.198,low,gov,16,2021-03-21,Viettel Group,63,60
362,ip,spam,spam_ip,active,14.245.197.147,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),93,60
363,ip,spam,spam_ip,active,14.255.123.49,low,gov,16,2021-03-21,Vietnam Posts And Telecommunications Group,62,60
364,ip,spam,spam_ip,active,171.231.231.236,low,gov,25,2021-03-21,Viettel Group,100,60
365,ip,spam,spam_ip,active,123.20.12.211,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
366,ip,spam,spam_ip,active,171.241.0.68,low,gov,25,2021-03-21,Viettel Group,97,60
367,ip,spam,spam_ip,active,115.76.51.187,low,gov,21,2021-03-21,Viettel Group,84,60
368,ip,spam,spam_ip,active,222.254.13.48,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),94,60
369,ip,spam,spam_ip,active,118.71.196.75,low,gov,25,2021-03-21,FPT Telecom Company,99,60
370,ip,spam,spam_ip,active,171.241.126.83,low,gov,25,2021-03-21,Viettel Group,97,60
371,ip,spam,spam_ip,active,14.229.230.183,low,gov,10,2021-03-21,Vietnam Posts and Telecommunications(VNPT),39,60
372,ip,spam,spam_ip,active,14.251.81.139,low,gov,24,2021-03-21,Vietnam Posts And Telecommunications Group,96,60
373,ip,spam,spam_ip,active,113.186.34.71,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),98,60
374,ip,spam,spam_ip,active,113.181.158.25,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
375,ip,spam,spam_ip,active,14.251.73.86,low,gov,24,2021-03-21,Vietnam Posts And Telecommunications Group,96,60
376,ip,spam,spam_ip,active,14.233.251.17,low,gov,9,2021-03-21,Vietnam Posts and Telecommunications(VNPT),34,60
377,ip,spam,spam_ip,active,116.110.65.231,low,gov,25,2021-03-21,Viettel Corporation,100,60
378,ip,spam,spam_ip,active,123.21.84.223,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
379,ip,spam,spam_ip,active,123.17.128.220,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),93,60
380,ip,spam,spam_ip,active,27.78.248.127,low,gov,21,2021-03-21,Viettel Group,84,60
381,ip,spam,spam_ip,active,123.21.151.215,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
382,ip,spam,spam_ip,active,183.81.50.212,low,gov,25,2021-03-21,FPT Telecom Company,99,60
383,ip,spam,spam_ip,active,27.71.122.174,low,gov,25,2021-03-21,Viettel Group,100,60
384,ip,spam,spam_ip,active,118.71.30.207,low,gov,22,2021-03-21,FPT Telecom Company,88,60
385,ip,spam,spam_ip,active,113.160.225.229,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),90,60
386,ip,spam,spam_ip,active,113.170.0.32,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),91,60
387,ip,spam,spam_ip,active,171.248.73.79,low,gov,22,2021-03-21,Viettel Group,87,60
388,ip,spam,spam_ip,active,123.16.121.225,low,gov,13,2021-03-21,Vietnam Posts and Telecommunications(VNPT),50,60
389,ip,spam,spam_ip,active,14.244.179.35,low,gov,14,2021-03-21,Vietnam Posts and Telecommunications(VNPT),55,60
390,ip,spam,spam_ip,active,14.186.31.21,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),78,60
391,ip,spam,spam_ip,active,14.242.58.115,low,gov,21,2021-03-21,Vietnam Posts and Telecommunications(VNPT),81,60
392,ip,spam,spam_ip,active,123.27.94.20,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
393,ip,spam,spam_ip,active,42.115.186.119,low,gov,25,2021-03-21,FPT Telecom Company,99,60
394,ip,spam,spam_ip,active,183.81.50.129,low,gov,20,2021-03-21,FPT Telecom Company,78,60
395,ip,spam,spam_ip,active,42.114.166.126,low,gov,25,2021-03-21,FPT Telecom Company,99,60
396,ip,spam,spam_ip,active,14.185.1.164,low,gov,19,2021-03-21,Vietnam Posts and Telecommunications(VNPT),76,60
397,ip,spam,spam_ip,active,113.188.86.116,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),90,60
398,ip,spam,spam_ip,active,123.20.84.77,low,gov,8,2021-03-21,Vietnam Posts and Telecommunications(VNPT),32,60
